City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Taltal,CL,-25.4,-70.4833,57.61,68,29,4.03,scattered clouds
80,Kautokeino,NO,69.0125,23.0412,53.4,89,100,12.93,overcast clouds
81,Kutum,SD,14.2,24.6667,68.65,77,60,10.94,broken clouds
82,Butaritari,KI,3.0707,172.7902,83.75,60,46,11.32,scattered clouds
83,Wenatchee,US,47.4235,-120.3103,77.41,35,54,4.0,broken clouds
84,Ustka,PL,54.5805,16.8619,61.05,85,82,9.24,broken clouds
85,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,68.2,50,40,4.9,scattered clouds
86,Aquiraz,BR,-3.9014,-38.3911,80.19,74,47,14.94,scattered clouds
87,San Quintin,MX,30.4833,-115.95,72.37,67,12,9.93,few clouds
88,Ust-Kulom,RU,61.6864,53.6902,46.11,98,70,3.18,broken clouds
89,Carutapera,BR,-1.195,-46.02,75.22,90,10,5.82,clear sky
90,Mount Isa,AU,-20.7333,139.5,69.57,21,0,9.22,clear sky
91,Biskamzha,RU,53.4497,89.5272,58.78,89,37,1.63,scattered clouds
92,Cabacao,PH,13.3356,120.6588,82.99,73,99,3.44,overcast clouds
93,Itoman,JP,26.1247,127.6694,82.78,92,40,9.22,mist
94,Fortuna,US,40.5982,-124.1573,87.19,66,20,4.0,few clouds
95,Yellowknife,CA,62.456,-114.3525,54.82,48,80,10.65,broken clouds
96,Sumbe,AO,-11.2061,13.8437,70.95,86,34,7.36,scattered clouds
97,Luderitz,NA,-26.6481,15.1594,54.27,86,70,7.27,broken clouds
98,Balakhta,RU,55.38,91.6,60.22,85,1,1.97,clear sky
99,Muros,ES,42.7762,-9.0603,63.23,87,99,4.61,overcast clouds
100,Isangel,VU,-19.55,169.2667,72.57,64,100,15.46,overcast clouds
101,Bluff,NZ,-46.6,168.3333,39.79,82,96,15.9,overcast clouds
102,Wangou,CN,42.0623,126.9127,73.27,60,0,2.51,clear sky
103,Elliot,ZA,-31.3333,27.85,51.44,25,1,7.74,clear sky
104,Jumla,NP,29.2747,82.1838,63.19,94,100,2.01,overcast clouds
105,Richards Bay,ZA,-28.783,32.0377,64.15,62,1,10.4,clear sky
106,Poronaysk,RU,49.2167,143.1167,55.65,80,100,8.77,overcast clouds
107,Galle,LK,6.0367,80.217,77.76,88,96,9.51,overcast clouds
108,Pevek,RU,69.7008,170.3133,37.54,81,27,10.87,scattered clouds
109,Malpe,IN,13.35,74.7167,76.68,89,61,1.28,broken clouds
110,Norman Wells,CA,65.282,-126.8329,54.43,59,98,7.09,overcast clouds
111,Asau,RO,46.4333,26.4,64.8,67,2,3.02,light rain
112,Saint-Philippe,RE,-21.3585,55.7679,68.22,88,41,8.81,light rain
113,Pingliang,CN,35.5392,106.6861,71.4,61,24,2.13,few clouds
114,Xuddur,SO,4.1213,43.8894,70.25,79,92,18.66,overcast clouds
115,Banda Aceh,ID,5.5577,95.3222,79.54,83,81,8.03,broken clouds
116,Husavik,IS,66.0449,-17.3389,55.02,85,47,0.56,scattered clouds
117,Yerbogachen,RU,61.2767,108.0108,60.28,48,2,3.36,clear sky
118,Port Lincoln,AU,-34.7333,135.8667,57.58,54,20,17.69,few clouds
119,Tasiilaq,GL,65.6145,-37.6368,46.56,94,100,21.12,light rain
120,Upernavik,GL,72.7868,-56.1549,41.16,85,99,3.51,overcast clouds
121,Ankazoabo,MG,-22.2833,44.5167,58.08,66,0,6.26,clear sky
122,Turukhansk,RU,65.8167,87.9833,59.4,59,25,5.21,scattered clouds
123,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,48,0,2.3,clear sky
124,Sitka,US,57.0531,-135.33,60.66,78,100,8.46,overcast clouds
125,Khorixas,NA,-20.3667,14.9667,57.49,39,19,5.26,few clouds
126,San Pedro De Cajas,PE,-11.2511,-75.8617,40.71,87,17,5.37,few clouds
127,Maketu,NZ,-37.7667,176.45,51.94,50,90,12.95,overcast clouds
128,Sotouboua,TG,8.5667,0.9833,70.38,95,82,2.98,broken clouds
129,Chifeng,CN,42.2683,118.9636,72.75,68,100,1.5,moderate rain
130,Iqaluit,CA,63.7506,-68.5145,42.75,89,100,9.73,overcast clouds
131,Luang Prabang,LA,19.8856,102.1347,77.76,87,100,1.03,overcast clouds
132,Chuy,UY,-33.6971,-53.4616,57.13,96,98,11.21,moderate rain
133,Necochea,AR,-38.5473,-58.7368,46.04,72,100,6.04,overcast clouds
134,Shenjiamen,CN,29.9576,122.298,80.24,80,59,6.64,broken clouds
135,Leningradskiy,RU,69.3833,178.4167,40.55,75,28,18.16,scattered clouds
136,Sept-Iles,CA,50.2001,-66.3821,59.25,74,2,1.99,clear sky
137,Asfi,MA,32.2994,-9.2372,67.08,79,0,11.7,clear sky
138,Lincoln,US,40.8,-96.667,88.12,61,1,8.05,clear sky
139,Vostok,RU,46.4856,135.8833,55.51,81,100,5.28,overcast clouds
140,Victoria,HK,22.2855,114.1577,85.32,89,100,1.01,overcast clouds
141,San Patricio,US,28.017,-97.5169,90.32,61,31,18.16,scattered clouds
142,Bengkulu,ID,-3.8004,102.2655,76.37,87,62,3.98,broken clouds
143,Artyom,AZ,40.4723,50.333,82.54,67,6,8.68,clear sky
144,Port Elizabeth,ZA,-33.918,25.5701,53.1,84,93,9.01,overcast clouds
145,Marrakesh,MA,31.6315,-8.0083,73.47,56,0,4.61,clear sky
146,Guisa,CU,20.255,-76.5386,82.71,88,63,4.81,broken clouds
147,Saint George,US,37.1041,-113.5841,104.47,8,1,5.01,clear sky
148,Zhigansk,RU,66.7697,123.3711,67.91,32,73,16.04,broken clouds
149,Jackson,US,42.4165,-122.8345,89.74,25,1,9.22,clear sky
150,Kaitangata,NZ,-46.2817,169.8464,43.09,75,90,10.42,overcast clouds
151,Salinopolis,BR,-0.6136,-47.3561,79.54,80,14,11.52,few clouds
152,Khash,IR,28.2211,61.2158,77.41,15,2,2.86,clear sky
153,Barrow,US,71.2906,-156.7887,39.22,86,90,11.5,haze
154,Lichuan,CN,30.3,108.85,68.13,100,100,0.85,light rain
155,Channel-Port Aux Basques,CA,47.5702,-59.1367,58.8,81,1,10.31,clear sky
156,Tigil,RU,57.8,158.6667,60.62,52,20,12.75,few clouds
157,Namibe,AO,-15.1961,12.1522,62.83,81,45,5.88,scattered clouds
158,Katangli,RU,51.7102,143.2326,57.45,74,100,8.21,overcast clouds
159,Morant Bay,JM,17.8815,-76.4093,83.66,81,7,8.5,clear sky
160,Terrace Bay,CA,48.7834,-87.1,62.01,100,100,6.38,overcast clouds
161,Hasaki,JP,35.7333,140.8333,88.2,80,70,24.47,broken clouds
162,Tadine,NC,-21.55,167.8833,70.66,54,37,15.5,scattered clouds
163,Olafsvik,IS,64.8945,-23.7142,56.01,82,100,9.75,overcast clouds
164,Carnarvon,AU,-24.8667,113.6333,64.47,76,90,6.91,overcast clouds
165,Bambous Virieux,MU,-20.3428,57.7575,68.22,90,98,19.89,light rain
166,Talnakh,RU,69.4865,88.3972,62.76,58,1,3.13,clear sky
167,Hanzhong,CN,33.0728,107.0303,71.71,92,91,1.1,overcast clouds
168,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,6.91,broken clouds
169,Flin Flon,CA,54.7682,-101.865,64.26,80,63,8.79,broken clouds
170,Yoshida,JP,37.6833,138.8833,84.16,74,85,10.67,light rain
171,Shangqiu,CN,34.45,115.65,74.93,83,97,3.94,light rain
172,Intipuca,SV,13.1969,-88.0544,85.89,86,65,3.04,broken clouds
173,Avarua,CK,-21.2078,-159.775,78.85,69,20,12.66,few clouds
174,Lorengau,PG,-2.0226,147.2712,83.61,73,64,9.1,broken clouds
175,Flinders,AU,-34.5833,150.8552,58.21,82,100,7.0,overcast clouds
176,Mayo,US,38.8876,-76.5119,84.9,77,1,1.01,clear sky
177,Srednekolymsk,RU,67.45,153.6833,68.43,39,14,4.72,few clouds
178,Quatre Cocos,MU,-20.2078,57.7625,67.08,92,93,18.66,light rain
179,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,29,3.49,scattered clouds
180,Vardo,NO,70.3705,31.1107,55.0,78,6,6.98,clear sky
181,Tessalit,ML,20.1986,1.0114,91.18,35,98,8.23,overcast clouds
182,Tezu,IN,27.9167,96.1667,76.96,100,100,1.05,overcast clouds
183,Princeton,US,25.5384,-80.4089,86.02,76,1,4.61,clear sky
184,New Norfolk,AU,-42.7826,147.0587,53.92,78,40,1.01,scattered clouds
185,Fort Nelson,CA,58.8053,-122.7002,73.89,47,72,2.73,broken clouds
186,Tuatapere,NZ,-46.1333,167.6833,39.81,94,98,5.06,overcast clouds
187,Port Alfred,ZA,-33.5906,26.891,59.0,84,47,13.4,scattered clouds
188,Aban,RU,56.67,96.06,62.62,67,45,3.36,scattered clouds
189,Ibra,OM,22.6906,58.5334,86.92,43,6,3.56,clear sky
190,Orapa,BW,-21.2833,25.3667,58.12,37,0,6.93,clear sky
191,Monrovia,LR,6.3005,-10.7969,76.77,81,87,10.85,light rain
192,Hami,CN,42.8,93.45,80.08,29,100,4.12,overcast clouds
193,Puerto Penasco,MX,31.3167,-113.5333,87.91,77,8,21.0,clear sky
194,Kalmunai,LK,7.4167,81.8167,77.94,84,97,2.73,overcast clouds
195,Kachug,RU,53.9606,105.8817,59.63,55,6,2.21,clear sky
196,Provideniya,RU,64.3833,-173.3,51.91,66,40,15.66,scattered clouds
197,Lashio,MM,22.9333,97.75,70.07,100,100,0.83,overcast clouds
198,Severodvinsk,RU,64.5635,39.8302,53.71,89,99,12.97,overcast clouds
199,Nancha,CN,47.1333,129.2667,57.16,86,100,2.75,overcast clouds
200,Laguna,US,38.421,-121.4238,102.43,35,1,5.01,clear sky
201,Avera,US,33.194,-82.5271,89.47,73,91,4.32,overcast clouds
202,Lagoa,PT,39.05,-27.9833,71.44,87,9,18.5,clear sky
203,Fairbanks,US,64.8378,-147.7164,66.6,74,90,6.91,overcast clouds
204,Dunedin,NZ,-45.8742,170.5036,42.8,69,82,5.01,broken clouds
205,Balakovo,RU,52.0278,47.8007,72.09,45,61,6.64,broken clouds
206,Pisco,PE,-13.7,-76.2167,61.02,85,0,3.8,clear sky
207,Karpogory,RU,64.0019,44.4451,52.9,95,100,8.21,overcast clouds
208,Dwarka,IN,22.2394,68.9678,80.73,76,87,12.62,overcast clouds
209,Bontang,ID,0.1333,117.5,77.95,83,98,2.37,heavy intensity rain
210,Houma,US,29.5958,-90.7195,89.6,74,40,4.0,scattered clouds
211,Faya,SA,18.3851,42.4509,71.56,41,58,4.43,broken clouds
212,Mount Abu,IN,24.6,72.7,68.85,81,73,7.29,broken clouds
213,Quibdo,CO,5.6947,-76.6611,74.66,96,91,0.36,overcast clouds
214,Santa Cruz,BO,-17.8,-63.1667,82.96,32,31,11.79,scattered clouds
215,Karasburg,NA,-28.0167,18.75,44.71,90,5,9.69,clear sky
216,Mahon,ES,39.8885,4.2658,73.96,73,0,8.05,clear sky
217,Portel,BR,-1.9356,-50.8211,79.07,66,26,3.2,scattered clouds
218,Yumen,CN,40.2833,97.2,71.56,20,1,6.46,clear sky
219,Yulara,AU,-25.2406,130.9889,57.11,29,0,8.21,clear sky
220,Guinticgan,PH,11.5641,123.1236,79.93,82,100,7.02,moderate rain
221,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,88,42,10.89,scattered clouds
222,Akyab,MM,20.15,92.9,80.28,87,100,1.57,overcast clouds
223,Mount Gambier,AU,-37.8333,140.7667,51.17,68,94,9.82,overcast clouds
224,Itarema,BR,-2.9248,-39.9167,79.38,78,20,18.37,few clouds
225,Bastia,FR,42.6667,9.3333,76.3,65,0,2.3,clear sky
226,Codrington,AU,-38.2667,141.9667,52.68,72,98,13.65,overcast clouds
227,College,US,64.8569,-147.8028,66.58,74,75,3.44,light rain
228,Beauchamps,FR,50.012,1.5176,62.38,80,85,11.48,overcast clouds
229,Kentau,KZ,43.5206,68.5094,74.64,28,0,6.49,clear sky
230,Tocopilla,CL,-22.092,-70.1979,62.06,65,75,13.27,broken clouds
231,East London,ZA,-33.0153,27.9116,62.91,75,32,15.79,scattered clouds
232,Lata,PT,40.1629,-8.3327,60.06,97,4,1.54,clear sky
233,Saldanha,ZA,-33.0117,17.9442,55.45,81,100,20.51,light rain
234,Naze,JP,28.3667,129.4833,80.19,79,5,12.37,clear sky
235,Isla Mujeres,MX,21.2311,-86.731,86.05,72,4,9.98,clear sky
236,Nautla,MX,20.2167,-96.7833,85.46,69,12,17.72,few clouds
237,Agadez,NE,19.75,10.25,89.98,29,85,6.78,overcast clouds
238,Pryazha,RU,61.6926,33.6216,58.53,99,100,2.35,overcast clouds
239,Campbell River,CA,50.0163,-125.2446,72.59,61,15,4.99,few clouds
240,Puerto Escondido,MX,15.85,-97.0667,83.23,61,90,9.22,overcast clouds
241,Verkhnevilyuysk,RU,63.4453,120.3167,69.39,73,100,2.93,overcast clouds
242,Prince Rupert,CA,54.3161,-130.3201,60.12,83,70,4.21,broken clouds
243,Zwedru,LR,6.0667,-8.1281,72.63,92,99,4.14,overcast clouds
244,Mahebourg,MU,-20.4081,57.7,68.25,89,99,19.95,light rain
245,Castro,BR,-24.7911,-50.0119,60.8,59,97,4.52,overcast clouds
246,Taft,IR,31.7471,54.2088,76.51,17,16,2.51,few clouds
247,Shahreza,IR,32.0339,51.8794,70.7,34,48,1.05,scattered clouds
248,Rocha,UY,-34.4833,-54.3333,53.35,90,100,14.36,overcast clouds
249,Dikson,RU,73.5069,80.5464,41.59,98,2,7.85,clear sky
250,Litovko,RU,49.2361,135.1742,51.39,97,100,12.64,overcast clouds
251,Makakilo City,US,21.3469,-158.0858,84.61,59,9,15.61,clear sky
252,Birakan,RU,49.0167,131.7,53.89,75,100,5.59,overcast clouds
253,Manakara,MG,-22.1333,48.0167,62.85,94,32,6.06,scattered clouds
254,Muravlenko,RU,63.7898,74.523,59.63,81,37,10.98,scattered clouds
255,Porto Novo,BJ,6.4965,2.6036,75.31,91,100,9.08,light rain
256,Menongue,AO,-14.6585,17.691,53.96,25,26,5.17,scattered clouds
257,Lat Yao,TH,15.751,99.7893,80.29,74,88,3.6,overcast clouds
258,Hudson Bay,CA,52.85,-102.3842,75.45,32,37,12.57,scattered clouds
259,Lompoc,US,34.6391,-120.4579,81.21,72,1,7.0,clear sky
260,Krasnoselkup,RU,65.7,82.4667,56.59,69,13,9.69,few clouds
261,Robertsport,LR,6.7533,-11.3686,78.75,76,95,13.67,overcast clouds
262,Nakuru,KE,-0.2833,36.0667,58.82,89,90,1.5,light rain
263,Aksarka,RU,66.5606,67.7975,51.49,68,100,9.37,overcast clouds
264,Khuzdar,PK,27.7384,66.6434,77.23,55,0,5.17,clear sky
265,Te Anau,NZ,-45.4167,167.7167,38.3,85,70,2.84,broken clouds
266,Airai,TL,-8.9266,125.4092,65.44,62,22,3.0,few clouds
267,Kavaratti,IN,10.5669,72.642,79.07,86,100,19.77,overcast clouds
268,Kulhudhuffushi,MV,6.6221,73.07,82.2,73,99,15.61,overcast clouds
269,Paka,MY,4.6374,103.4368,78.1,87,29,3.71,scattered clouds
270,Birin,NP,26.8865,88.0718,64.08,92,49,2.75,scattered clouds
271,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,83,8,24.58,clear sky
272,Pitimbu,BR,-7.4706,-34.8086,74.5,86,33,11.3,scattered clouds
273,Bud,US,39.447,-86.1758,84.18,67,77,5.37,broken clouds
274,Westport,US,41.1415,-73.3579,76.15,89,90,6.91,moderate rain
275,Taoudenni,ML,22.6783,-3.9836,100.63,10,9,14.41,clear sky
276,Clyde River,CA,70.4692,-68.5914,45.09,62,100,8.72,overcast clouds
277,Nyurba,RU,63.2842,118.3319,67.46,86,67,2.84,broken clouds
278,Kokopo,PG,-4.352,152.2633,82.85,66,60,4.52,broken clouds
279,Limbang,MY,4.75,115.0,78.91,85,94,1.66,overcast clouds
280,Sisimiut,GL,66.9395,-53.6735,43.18,79,92,4.7,overcast clouds
281,Hamilton,US,39.1834,-84.5333,86.09,63,24,1.01,few clouds
282,Waddan,LY,29.1614,16.139,81.37,40,0,9.89,clear sky
